,pearson_ic,spearman_ic,ic_cumsum
2024-03-13 05:00:00+00:00,-0.06587351400318056,-0.07923678887028308,-20.145591481471833
2024-03-13 17:00:00+00:00,-0.05327282139303224,-0.052446407895550724,-20.198864302864866
2024-03-14 05:00:00+00:00,-0.05333876187576625,-0.056104682417836324,-20.252203064740634
2024-03-14 17:00:00+00:00,-0.015921602546502506,-0.002125504946423893,-20.268124667287136
2024-03-15 05:00:00+00:00,0.0049620391935132225,0.020499581700033385,-20.263162628093625
2024-03-15 17:00:00+00:00,0.023675148680598085,0.06371822342583248,-20.239487479413025
2024-03-16 05:00:00+00:00,0.025212329469447025,0.06841675734589288,-20.214275149943578
2024-03-16 17:00:00+00:00,0.057505261413305496,0.1258617216955262,-20.156769888530274
2024-03-17 05:00:00+00:00,0.05755652556864119,0.13107263335358382,-20.09921336296163
2024-03-17 17:00:00+00:00,0.07768898331833898,0.16438588741843912,-20.021524379643292
2024-03-18 05:00:00+00:00,0.07742400259791014,0.1685986300505104,-19.94410037704538
2024-03-18 17:00:00+00:00,0.06490476069585506,0.1379958830333402,-19.879195616349524
2024-03-19 05:00:00+00:00,0.08679895198274754,0.1749440999994982,-19.792396664366777
2024-03-19 17:00:00+00:00,0.0837844335877835,0.16772974836537552,-19.708612230778993
2024-03-20 05:00:00+00:00,0.0932290799982305,0.1850041287004904,-19.61538315078076
2024-03-20 17:00:00+00:00,0.07742384033267978,0.16708299943086524,-19.53795931044808
2024-03-21 05:00:00+00:00,0.07478894964748528,0.15520216238633117,-19.463170360800596
2024-03-21 17:00:00+00:00,0.08794624128965396,0.1889274054189614,-19.375224119510943
2024-03-22 05:00:00+00:00,0.09106204314448366,0.20391275219745403,-19.28416207636646
2024-03-22 17:00:00+00:00,0.07591775180346445,0.16563910779939175,-19.208244324562994
2024-03-23 05:00:00+00:00,0.05935726511153737,0.1460965024344826,-19.148887059451457
2024-03-23 17:00:00+00:00,0.06156876952982852,0.15602483954351962,-19.08731828992163
2024-03-24 05:00:00+00:00,0.061692067470057295,0.1571628341229505,-19.02562622245157
2024-03-24 17:00:00+00:00,0.2358203514798682,0.21840065113465218,-18.7898058709717
